,﻿銘柄コード,銘柄名,業種,上場市場,次回決算発表日,次回決算発表時間,時価総額,Average Daily Volume(25days),株価,前営業日終値,本日の株価変化率,Bid,Ask,Mid,Mid_Chg_Pct,当日のVolume,Day_High,Day_Low,過去1カ月トータルリターン,過去3か月トータルリターン,過去6か月トータルリターン,過去1年トータルリターン,過去3年トータルリターン,過去5年トータルリターン,25日移動平均,RSI(14日間),配当利回り,PER,PBR,現値と25日移動平均の乖離,Updated_At
890,3611 JT Equity,マツオカコーポレーション,"Textiles, Apparel & Luxury Goods",スタンダード,2026/05/14,14:00,22394870400,40711.11111,2114,2119,-0.002359604,2114,2125,2119.5,-0.000471587,34800,2120,2096,-0.006578947,-0.095852321,-0.03528551,0.233020646,0.661501899,0.386205593,2178.925926,35.74364495,0.042573321,8.859804664,0.606043713,-0.029797216,2026/04/28 6:57
891,3612 JT Equity,ワールド,Specialty Retail,プライム,2026/07/03,,1.1733E+11,316714.8148,1521,1507,0.00928998,1519,1522,1520.5,0.007954922,264100,1526,1505,0.030487805,0.008895469,0.132471331,0.200348997,1.219331397,1.564531134,1537.888889,44.15103706,0.03583169,8.797295934,1.169597084,-0.010981865,2026/04/28 6:57
892,3622 JT Equity,ネットイヤーグループ,Media,スタンダード,2026/04/28,14:30,3968433000,5066.666667,567,567,0,566,573,569.5,0.005295675,16100,575,560,0.06779661,-0.156424998,0.025847458,0.165262832,-0.015818532,-0.26459049,546.1481481,68.69857537,0.012345679,18.26322232,1.471336786,0.038179845,2026/04/28 6:57
893,3623 JT Equity,ビリングシステム,Financial Services,グロース,2026/05/14,14:00,7122374000,20144.44444,1085,1070,0.014018692,1078,1085,1081.5,0.004644682,15300,1089,1066,0.065815324,0.111680328,-0.002389789,-0.066778713,0.040787757,-0.035974734,1070.407407,50.34657393,0.023778801,15.38965245,2.178121836,0.013632746,2026/04/28 6:57
894,3624 JT Equity,アクセルマーク,Entertainment,グロース,2026/05/14,,1543803200,215388.8889,76,79,-0.037974684,76,77,76.5,-0.025477707,253700,80,75,-0.095238095,-0.084337349,-0.327433628,-0.164835165,-0.725631769,-0.840336134,82.55555556,33.69222685,,,2.290912126,-0.079407806,2026/04/28 6:57
895,3625 JT Equity,ﾃｯｸﾌｧｰﾑﾎｰﾙﾃﾞｨﾝｸﾞｽ,IT Services,グロース,2026/05/15,14:00,4711905000,9700,627,625,0.0032,626,629,627.5,0.000797448,8500,639,619,0.016207455,-0.059970015,-0.181462141,-0.039179996,-0.163378217,-0.070663307,628.0740741,48.99220957,0.012759171,9.427097399,1.560305274,-0.001710107,2026/04/28 6:57
896,3626 JT Equity,ＴＩＳ,IT Services,プライム,2026/05/08,14:30,8.14931E+11,1620874.074,3568,3530,0.010764873,3555,3572,3563.5,0.007777149,960400,3587,3537,0.082852807,-0.218460717,-0.292739877,-0.11603548,0.012367443,0.449911765,3492.555556,52.61444907,0.021300448,15.55804601,2.431817035,0.021601502,2026/04/28 6:57
897,3627 JT Equity,テクミラホールディングス,Software,スタンダード,2026/07/10,,3625143000,134362.963,285,278,0.025179856,285,288,286.5,0.034296029,77000,292,275,0.14,0.135110294,0.012502562,0.023198012,-0.293428474,-0.431429197,274.5925926,55.19562499,0.01754386,,0.569442991,0.037901268,2026/04/28 6:57
898,3628 JT Equity,データホライゾン,Health Care Technology,グロース,2026/05/12,15:00,5567759640,5166.666667,438,455,-0.037362637,437,450,443.5,-0.005605381,8000,454,436,-0.109756098,-0.152804642,-0.293548387,0.052884615,-0.8153457,-0.76184473,493.6296296,23.70495858,,,18.44924778,-0.112695078,2026/04/28 6:57
899,3632 JT Equity,グリーホールディングス,Entertainment,プライム,2026/05/13,11:00,66687138700,445714.8148,371,366,0.013661202,369,371,370,0.008174387,479900,371,364,0.008152174,-0.074812968,-0.090686275,-0.281531382,-0.43017014,-0.267505314,377.6296296,41.11708658,0.039083558,39.03924317,0.689448415,-0.017555904,2026/04/28 6:57
900,3633 JT Equity,ＧＭＯペパボ,IT Services,スタンダード,2026/05/13,,10374123900,5922.222222,1897,1891,0.003172924,1897,1924,1910.5,0.001572739,2600,1923,1896,0.029858849,-0.083574879,-0.015778551,0.386140452,0.159586088,-0.652327451,1895.259259,46.73832791,0.058513442,11.56378165,3.496802515,0.000918471,2026/04/28 6:57
901,3634 JT Equity,ソケッツ,Software,スタンダード,2026/05/12,,2299027200,31885.18519,928,778,0.192802057,928,587,928,0.192802057,301700,928,901,0.364705882,0.467379679,0.401479394,0.619702829,-0.101174694,0.008206146,659.5555556,83.90525017,0.006465517,561.6294517,3.967836843,0.407008086,2026/04/28 6:57
902,3635 JT Equity,ｺｰｴｰﾃｸﾓﾎｰﾙﾃﾞｨﾝｸﾞｽ,Entertainment,プライム,2026/07/28,,5.36411E+11,1512548.148,1596,1611.5,-0.009618368,1596,1598,1597,-0.008074534,3621400,1601.5,1521.5,-0.009310987,-0.040770511,-0.191736573,-0.296619189,-0.29230799,-0.218779062,1657.555556,37.7956077,0.041353383,12.0877281,1.956448076,-0.037136345,2026/04/28 6:57
903,3636 JT Equity,三菱総合研究所,IT Services,プライム,2026/07/30,,73641960000,56600,4590,4790,-0.041753653,4585,4595,4590,-0.040250915,267500,4745,4540,0.005476451,-0.039004503,-0.069633841,0.056112306,0.028886503,0.379144149,4768.333333,32.75910009,0.035947712,,0.986118647,-0.037399511,2026/04/28 6:57
904,3639 JT Equity,ボルテージ,Entertainment,スタンダード,2026/05/14,14:00,1611052700,10170.37037,244,246,-0.008130081,243,244,243.5,-0.01417004,3100,248,242,0.004115226,-0.099630996,-0.128571429,0.020920502,-0.212903226,-0.599865029,242.6666667,48.7410704,,,0.702990065,0.005494505,2026/04/28 6:57
905,3640 JT Equity,電算,Professional Services,スタンダード,2026/05/15,14:00,17318972400,21148.14815,2967,2925,0.014358974,2962,2978,2970,0.020267949,11800,2980,2915,-0.088479263,-0.037775922,0.032221606,0.977456316,0.869432614,0.431220098,3142.703704,38.00566,0.047185709,4.437807858,1.156469293,-0.055908453,2026/04/28 6:57
906,3641 JT Equity,パピレス,Specialty Retail,スタンダード,2026/05/15,14:00,10275245600,11137.03704,995,995,0,993,996,994.5,-0.00100452,2300,996,995,-0.002006018,-0.030877589,0.072550629,0.167224088,-0.045361103,-0.49351912,1012.555556,39.33719474,0.010050251,59.46373749,0.948211103,-0.017337869,2026/04/28 6:57
907,3645 JT Equity,メディカルネット,Interactive Media & Services,グロース,2026/07/17,,3285765000,14659.25926,305,304,0.003289474,305,307,306,0.00990099,15800,307,303,0.016666667,0.026936027,-0.025559105,-0.031972273,-0.211317216,-0.605287677,301.8888889,58.18549913,0.009836066,,1.420449823,0.010305484,2026/04/28 6:57
908,3646 JT Equity,駅探,Interactive Media & Services,スタンダード,2026/05/14,15:00,1998241600,13570.37037,332,335,-0.008955224,331,333,332,-0.011904762,16600,334,329,-0.087912088,-0.017751479,-7.77E-16,-0.023529412,-0.203937726,-0.260768283,360.1111111,22.0616379,,,1.059310504,-0.078062326,2026/04/28 6:57
909,3647 JT Equity,アスリナ,Trading Companies & Distributors,スタンダード,2026/07/10,,2866343880,312148.1481,129,130,-0.007692308,128,129,128.5,-0.007722008,48800,130,128,-0.078571429,0.066115702,-0.058394161,0.131578947,-0.245614035,-0.641666667,139.6666667,31.43448347,,,3.182174741,-0.076372315,2026/04/28 6:57
910,3648 JT Equity,ＡＧＳ,IT Services,スタンダード,2026/05/14,15:00,19869811656,13692.59259,1158,1140,0.015789474,1145,1159,1152,0.00655308,14000,1158,1128,0.022065313,-0.163302151,-0.19424851,0.430217533,0.740868866,0.591155757,1166.333333,45.41515531,0.029360967,9.665916058,1.22990576,-0.007144899,2026/04/28 6:57
911,3649 JT Equity,ファインデックス,Health Care Technology,プライム,2026/05/14,14:00,21260431200,71703.7037,799,803,-0.00498132,795,800,797.5,-0.005610973,77200,804,790,-0.044258373,-0.063305979,-0.049036429,0.178110801,0.349509071,-0.271970162,829.1481481,37.03664556,0.027534418,15.4739028,3.584373018,-0.036360388,2026/04/28 6:57
912,3652 JT Equity,ﾃﾞｨｼﾞﾀﾙﾒﾃﾞｨｱﾌﾟﾛﾌｪｯｼｮﾅﾙ,Semiconductors & Semiconductor Equipment,グロース,2026/05/15,,9504486000,33488.88889,3015,2511,0.200716846,3015,2525,3015,0.2,69700,3015,2472,0.460048426,0.278625954,0.38876094,0.667588496,0.332891247,0.194059406,2203.37037,79.98363005,,,2.961288999,0.368358239,2026/04/28 6:57
913,3653 JT Equity,モルフォ,Software,グロース,2026/06/12,,3696203500,29788.88889,671,672,-0.001488095,671,688,679.5,0.008908686,18900,705,671,0.098199673,-0.162297129,-0.327655311,-0.420552677,-0.39,-0.497378277,657.5555556,46.29867152,,,1.083740489,0.020446097,2026/04/28 6:57
914,3656 JT Equity,ＫＬａｂ,Entertainment,プライム,2026/05/14,14:00,19565847000,10243766.67,245,249,-0.016064257,245,246,245.5,-0.016032064,9543200,258,241,-0.234375,-0.275147929,0.069868996,1.076271186,-0.365284974,-0.680156658,317.037037,29.46357196,,,1.811572832,-0.227219626,2026/04/28 6:57
915,3657 JT Equity,ポールトゥウィンホールディン,IT Services,プライム,2026/06/12,,11675736000,195355.5556,306,303,0.00990099,305,306,305.5,0.004934211,84100,306,303,0.044368601,-0.037510955,-0.046287451,-0.109204163,-0.624242974,-0.690251133,304.8888889,46.47522206,0.052287582,,1.285300897,0.003644315,2026/04/28 6:57
916,3659 JT Equity,ネクソン,Entertainment,プライム,2026/05/14,14:30,2.11614E+12,2228081.481,2669.5,2635,0.013092979,2652.5,2670,2661.25,0.011017191,1684300,2735,2639.5,-0.088129804,-0.372915198,-0.122204656,0.219359178,-0.107873088,-0.23629667,2761.666667,40.56399118,0.016857089,27.11522002,1.997706171,-0.033373567,2026/04/28 6:57
917,365A JT Equity,伊澤タオル,,スタンダード,2026/07/10,,7250000000,124111.1111,725,712,0.018258427,724,725,724.5,0.018271258,32900,727,712,0.11196319,0.112260488,0.302987668,-0.068616825,-0.068616825,-0.068616825,691.962963,58.40620003,0.055172414,10.18687649,1.732581321,0.047743938,2026/04/28 6:57
918,3660 JT Equity,アイスタイル,Specialty Retail,プライム,2026/05/08,14:00,48969758259,930881.4815,477,470,0.014893617,476,478,477,0.01381509,884300,478,471,0.135714286,0.062360802,0.057649667,0.021157481,-0.114996849,-0.000205646,453.8888889,59.7495229,0.002096436,22.39667947,2.201054544,0.050917993,2026/04/28 6:57
919,3661 JT Equity,エムアップホールディングス,Software,プライム,2026/05/15,14:00,53722683136,575696.2963,736,717,0.026499303,731,737,734,0.022284123,668300,737,723,0.16271722,-0.100079178,-0.242649884,-0.179295828,0.247809579,1.224249753,695.3703704,61.44058814,0.016983696,16.63618282,5.669923392,0.058428762,2026/04/28 6:57
920,3662 JT Equity,エイチームホールディングス,Entertainment,プライム,2026/06/05,,19055679755,75025.92593,1013,1009,0.003964321,1013,1017,1015,0.008445107,125400,1017,1005,0.098698482,-0.159475122,-0.084428258,-0.004010988,0.643739323,-0.320616466,980.037037,57.98462211,0.027640671,23.3233037,2.09546305,0.033634405,2026/04/28 6:57
921,3663 JT Equity,セルシス,Software,プライム,2026/05/08,12:00,47636516600,138462.963,1370,1376,-0.004360465,1368,1370,1369,-0.005809731,200300,1370,1354,0.040242976,-0.041958042,-0.192271126,0.084690663,1.247489605,1.258445217,1379.259259,45.27034312,0.026277372,21.95253014,9.366614856,-0.006713212,2026/04/28 6:57
922,3664 JT Equity,WIZE,Entertainment,グロース,2026/05/15,,2962344280,6098822.222,35,36,-0.027777778,34,35,34.5,-0.054794521,4849500,36,34,0.09375,-0.054054054,-0.435483871,0.09375,-0.5,-0.730769231,34.59259259,45.23826917,,,2.226779731,0.011777302,2026/04/28 6:57
923,3665 JT Equity,エニグモ,Specialty Retail,プライム,2026/06/12,,15862824000,209085.1852,372,378,-0.015873016,372,373,372.5,-0.013245033,151500,379,371,-1.06E-02,-0.219934641,-0.052777778,0.37183908,-1.06E-02,-0.658042395,383.2592593,39.8067449,0.080645161,,1.25512089,-0.029377658,2026/04/28 6:57
924,3667 JT Equity,ｅｎｉｓｈ,Entertainment,スタンダード,2026/05/15,15:00,2266009560,893722.2222,51,52,-0.019230769,50,51,50.5,-0.028846154,1696600,51,46,-0.089285714,-0.163934426,-0.474226804,-0.413793103,-0.891719745,-0.898,55.62962963,25.53199593,,,2.537509427,-0.08322237,2026/04/28 6:57
925,3668 JT Equity,コロプラ,Entertainment,プライム,2026/05/07,,56700817545,384485.1852,435,436,-0.002293578,432,435,433.5,-0.004592423,436300,439,431,0.053268765,-0.026845638,-0.037610619,-0.034404102,-0.239929922,-0.369128211,432.8148148,49.48801081,0.045977011,58.58357047,0.843928875,0.005048776,2026/04/28 6:57
926,366A JT Equity,ウェルネス・コミュニケーショ,,グロース,2026/05/14,14:00,12500790200,45729.62963,1003,1003,0,1002,1005,1003.5,0.001497006,38000,1022,998,0.059134108,0.002347361,-0.298153806,-0.432003162,-0.432003162,-0.432003162,1002.740741,45.59508406,0.03429711,14.75455655,2.19566922,0.000258551,2026/04/28 6:57
927,3670 JT Equity,協立情報通信,"Electronic Equipment, Instruments & Components",スタンダード,2026/05/13,15:00,2183341600,4981.481481,1811,1824,-0.007127193,1808,1820,1814,-0.003296703,2500,1832,1810,-0.022138229,-0.113682735,-0.045539198,0.184931109,0.338105203,0.280232264,1841,40.30326152,0.035891773,5.888126526,0.940050956,-0.016295492,2026/04/28 6:57
928,3671 JT Equity,ソフトマックス,Health Care Technology,スタンダード,2026/05/12,14:00,8321576800,104848.1481,346,342,0.011695906,345,346,345.5,0.004360465,69500,346,341,0.029761905,0.058103976,-0.131777606,0.632895328,1.124762955,0.475119044,344.3703704,49.27306064,0.028901734,14.49518224,2.119804154,0.0047322,2026/04/28 6:57
929,3672 JT Equity,オルトプラス,Entertainment,スタンダード,2026/05/14,14:00,2938433155,807625.9259,35,36,-0.027777778,35,36,35.5,-0.02739726,598600,36,35,-0.186046512,-0.3,-0.485294118,-0.396551724,-0.822335025,-0.925847458,39.74074074,27.78488004,,,2.521229461,-0.119291705,2026/04/28 6:57
930,3673 JT Equity,ブロードリーフ,Software,プライム,2026/05/13,14:00,88205016800,567648.1481,901,883,0.020385051,900,903,901.5,0.022108844,564500,902,869,-0.012061404,0.328908555,0.231640456,0.357762688,1.137354222,0.709571909,942.6296296,47.61058308,0.006659267,64.69040007,3.344418788,-0.044163294,2026/04/28 6:57
931,3674 JT Equity,オークファン,Broadline Retail,グロース,2026/05/15,13:00,3600962100,7370.37037,333,326,0.021472393,330,335,332.5,0.016819572,3100,335,327,0.009090909,-0.011869436,-0.037572254,-0.092643052,-0.357142857,-0.808950086,333.8518519,48.79931606,,,0.871920666,-0.002551586,2026/04/28 6:57
932,3675 JT Equity,ｸﾛｽ･ﾏｰｹﾃｨﾝｸﾞｸﾞﾙｰﾌﾟ,Media,スタンダード,2026/05/14,15:00,12481540000,36625.92593,625,624,0.001602564,624,626,625,-0.007936508,20600,630,620,0.059322034,-0.041411043,-0.053320524,-0.042683588,-0.061227585,0.334553516,617.5925926,51.49575325,0.0232,9.118245126,1.38340032,0.011994003,2026/04/28 6:57
933,3676 JT Equity,デジタルハーツホールディング,IT Services,プライム,2026/05/13,15:00,20044381200,86418.51852,839,839,0,837,842,839.5,0.001192606,72200,843,832,4.44E-16,-0.072361262,-0.104516807,-0.123879974,-0.384619739,-0.384630831,862.2222222,38.98386964,0.029797378,10.56837715,1.934150215,-0.02693299,2026/04/28 6:57
934,3678 JT Equity,メディアドゥ,Distributors,プライム,2026/07/10,,19493033068,88225.92593,1282,1278,0.00312989,1280,1288,1284,0.005481597,82400,1285,1262,-0.176092545,-0.189722318,-0.293078513,-0.200572049,-0.021270347,-0.769134519,1490.074074,21.08512554,0.031201248,10.51633688,1.021175028,-0.139640087,2026/04/28 6:57
935,3679 JT Equity,じげん,Interactive Media & Services,プライム,2026/05/12,14:30,45100000000,321222.2222,410,406,0.009852217,407,411,409,0.008631319,246900,410,405,4.90E-03,-0.102230444,-0.176019723,-0.047389318,-0.133699726,0.125214377,414.7407407,43.76448526,0.026829268,10.27753841,1.90666661,-0.011430613,2026/04/28 6:57
936,367A JT Equity,プリモグローバルホールディン,Specialty Retail,スタンダード,2026/07/15,,25156783268,92514.81481,2876,2805,0.025311943,2855,2890,2872.5,0.018436447,77200,2898,2805,0.242332613,0.377079213,0.460848127,0.84432076,0.84432076,0.84432076,2517.333333,83.17602973,0.057371349,13.50250247,1.393573192,0.142478814,2026/04/28 6:57
937,3680 JT Equity,ホットリンク,Software,グロース,2026/05/14,14:00,3560373400,30240.74074,223,223,0,223,224,223.5,0,15600,224,219,0.01826484,-0.148854962,-0.176480771,-0.088456927,-0.271930453,-0.730949506,222.4814815,45.69364754,0.02690583,,0.855933883,0.002330614,2026/04/28 6:57
938,3681 JT Equity,ブイキューブ,Diversified Telecommunication Services,プライム,2026/05/20,,1448914500,3560640.741,55,46,0.195652174,55,56,55.5,0.21978022,10004000,69,45,-0.545454545,-0.612676056,-0.615384615,-0.689265537,-0.894026975,-0.982109736,77.11111111,37.70037166,,,,-0.286743516,2026/04/28 6:57
939,3682 JT Equity,エンカレッジ・テクノロジ,Software,スタンダード,2026/05/13,11:00,4597668800,2877.777778,664,664,0,662,664,663,0,1500,664,664,-0.023529412,-0.043844334,0.11371282,0.12095648,0.386359849,0.240631725,672.2222222,37.94206461,0.039156627,18.27338525,1.258247082,-0.012231405,2026/04/28 6:57
940,3683 JT Equity,サイバーリンクス,IT Services,スタンダード,2026/05/15,13:00,11283791888,32414.81481,986,986,0,986,987,986.5,-0.000506586,17200,991,976,0.03030303,-0.249047982,-0.314290772,-0.076083808,0.162926812,-0.336714623,1001.777778,37.23118372,0.030425963,8.393469935,1.194440055,-0.015749778,2026/04/28 6:57
941,3686 JT Equity,ディー・エル・イー,Media,スタンダード,2026/05/14,14:00,4692431520,200740.7407,108,108,0,106,108,107,0,113900,108,106,1.89E-02,-0.136,-0.142857143,-0.044247788,-0.530434783,-0.647058824,109.037037,45.09581578,,,3.23429716,-0.00951087,2026/04/28 6:57
942,3687 JT Equity,フィックスターズ,Software,プライム,2026/05/14,15:00,43456420000,501155.5556,1292,1295,-0.002316602,1288,1294,1291,-0.002703747,177800,1305,1283,0.071310116,-0.149440421,-0.349773528,-0.239692659,-0.041390147,0.394790145,1281.37037,48.44253678,0.013931889,21.56551699,5.125842135,0.008295517,2026/04/28 6:57
943,368A JT Equity,北里コーポレーション,Health Care Equipment & Supplies,プライム,2026/04/30,,52240000000,131511.1111,1306,1316,-0.007598784,1306,1307,1306.5,-0.006463878,488300,1328,1303,-0.011355034,-0.101111853,-0.019275715,-0.256879446,-0.256879446,-0.256879446,1344.888889,40.36924087,0.031393568,13.73557173,2.862622609,-0.028916061,2026/04/28 6:57
944,3690 JT Equity,イルグルム,Interactive Media & Services,スタンダード,2026/05/08,14:00,3434731685,7455.555556,539,543,-0.007366483,539,544,541.5,-0.007332722,7700,543,539,0.015065913,-0.073883162,-0.145800317,0.025842439,-0.115177319,-0.56674632,553.8888889,27.80327415,0.014656772,19.10465655,1.929920955,-0.026880642,2026/04/28 6:57
945,3691 JT Equity,デジタルプラス,Interactive Media & Services,グロース,2026/05/15,14:00,9191167587,46996.2963,2061,1989,0.036199095,2057,2065,2061,0.036199095,125900,2140,1914,0.581734459,0.228980322,0.801573427,1.915134371,1.50729927,2.384236453,1490.666667,85.29949254,,,10.44172063,0.382602862,2026/04/28 6:57
946,3692 JT Equity,ＦＦＲＩセキュリティ,Software,グロース,2026/05/15,14:00,48976200000,153903.7037,5980,5890,0.015280136,5970,5990,5980,0.017006803,102400,6040,5820,-0.027642276,-0.334042999,-0.473320474,0.786471836,4.418433527,2.011440148,6248.888889,42.25949182,0.002341137,38.14480995,13.89348917,-0.043029872,2026/04/28 6:57
947,3694 JT Equity,オプティム,Software,プライム,2026/05/15,14:00,23477367040,163400,430,429,0.002331002,430,431,430.5,0.002328289,87100,433,428,0.048780488,-0.134808853,-0.233511586,-0.336419753,-0.537136706,-0.845656856,426.5925926,48.56191185,,17.2360903,2.613929356,0.007987498,2026/04/28 6:57
948,3695 JT Equity,GMOプロダクトプラットフォーム,Media,グロース,2026/05/14,14:00,7296471837,2248.148148,1641,1639,0.001220256,1640,1681,1660.5,0.003626473,1100,1696,1641,-0.012040939,-0.156298201,-0.142433131,-0.411021637,-0.40375849,0.079240213,1664.925926,38.41441928,0.036270567,29.48220145,2.967538718,-0.014370565,2026/04/28 6:57
949,3696 JT Equity,セレス,Media,プライム,2026/04/30,11:00,18114167500,110062.963,1495,1491,0.002682763,1494,1500,1497,-0.00033389,74200,1499,1472,0.053558844,-0.181270537,-0.307544876,-0.270501289,0.12360559,-0.577376497,1495.592593,43.81086481,0.053511706,22.88719851,1.297107661,-0.000396226,2026/04/28 6:57
950,3697 JT Equity,ＳＨＩＦＴ,IT Services,プライム,2026/07/09,,1.80135E+11,8798170.37,673.4000244,649.9,0.036159447,673,673.5,673.25,0.036167757,7148700,677.7999878,660.2000122,0.095315589,-0.174754872,-0.396865182,-0.500815401,-0.598369767,-0.358259189,662.1925935,49.84566374,,18.37786762,4.462189194,0.01692473,2026/04/28 6:57
951,3698 JT Equity,ＣＲＩ・ミドルウェア,Software,スタンダード,2026/05/14,14:00,5622775200,15751.85185,1008,1000,0.008,1007,1040,1023.5,0.018914883,12400,1026,1000,0.088552916,-0.054439234,-0.229146917,-0.008499843,0.134044196,-0.353443525,979.0740741,52.8836462,0.025793651,15.26301445,1.325373596,0.029544165,2026/04/28 6:57
952,369A JT Equity,エータイ,Diversified Consumer Services,グロース,2026/07/15,,10730294100,27966.66667,2529,2569,-0.015570261,2520,2540,2530,-0.016520894,14100,2560,2513,0.085407725,-0.0326092,-0.272389826,-0.003950475,-0.003950475,-0.003950475,2469.740741,50.66733968,0.028865164,20.90409111,3.383941504,0.023994121,2026/04/28 6:57
953,3708 JT Equity,特種東海製紙,Paper & Forest Products,プライム,2026/05/14,13:00,62790000000,64607.40741,1610,1578,0.020278834,1590,1620,1605,0.017432647,88900,1610,1579,0.003115265,-0.005442696,0.075852693,0.33549611,0.789314511,0.293412383,1609.888889,53.60899268,0.027122153,12.87449806,0.677708951,6.90E-05,2026/04/28 6:57
954,3710 JT Equity,ジョルダン,Software,スタンダード,2026/05/14,15:00,3231825000,42481.48148,615,613,0.003262643,611,616,613.5,-0.005672609,11200,619,607,-0.0390625,0.035353535,0.044142615,0.035284281,-0.04159947,-0.252736799,661.3703704,32.48510212,0.009756098,16.40558315,0.685634202,-0.070112561,2026/04/28 6:57
955,3712 JT Equity,情報企画,IT Services,スタンダード,2026/05/08,,22433650000,11848.14815,1097,1098,-0.000910747,1097,1098,1097.5,-0.000910332,4400,1098,1088,0.001826484,-0.162370153,-0.043946623,0.182314172,1.033930578,1.098440866,1082.481481,54.22430544,0.021877849,14.69054035,2.318832222,0.013412256,2026/04/28 6:57
956,3719 JT Equity,AIストーム,Professional Services,スタンダード,2026/05/15,15:00,6781927736,383707.4074,223,224,-0.004464286,223,224,223.5,0,197300,227,222,-0.004464286,-0.200716846,-0.396810098,-0.014877628,-0.010556916,-0.108327971,231.3333333,38.87285399,0.013452915,35.73453948,2.96433066,-0.036023055,2026/04/28 6:57
957,3723 JT Equity,日本ファルコム,Entertainment,グロース,2026/05/13,,22122560000,10914.81481,2152,2227,-0.033677593,2150,2236,2193,-0.023380094,14500,2239,2142,0.091831558,0.325939618,0.44042838,0.78735985,0.858720078,0.531790781,2075.222222,49.84346574,0.00929368,16.59763442,2.012752334,0.036997376,2026/04/28 6:57
958,3726 JT Equity,フォーシーズＨＤ,Specialty Retail,スタンダード,2026/05/15,,5521097400,16937.03704,420,424,-0.009433962,420,423,421.5,-0.002366864,11700,424,418,-7.09E-03,-0.07079646,-0.08496732,-0.295302013,-0.113924051,-0.110169492,425.4814815,39.97780214,,,3.183518704,-0.012883008,2026/04/28 6:57
959,3727 JT Equity,アプリックス,Software,グロース,2026/05/14,14:00,7654120600,105177.7778,175,178,-0.016853933,175,177,176,-0.016759777,31500,178,175,-0.059139785,-0.137931034,-0.028108016,0.131823576,0.420194086,-0.261270011,183.8148148,34.12961926,0.02,143.8843006,1.625064132,-0.047954866,2026/04/28 6:57
960,372A JT Equity,株式会社レント,Trading Companies & Distributors,スタンダード,2026/07/15,,22033620000,9044.444444,5670,5600,0.0125,5670,5680,5675,0.015205725,6300,5670,5610,0.025316456,-0.027444254,-0.055,0.061797753,0.061797753,0.061797753,5636.296296,53.61012185,0.031746032,7.09921404,1.207643777,0.005979761,2026/04/28 6:57
961,3733 JT Equity,ソフトウェア・サービス,Health Care Technology,スタンダード,2026/06/05,,62398560000,2919.230769,11370,11450,-0.0069869,11360,11500,11430,-0.0078125,1600,11490,11370,-0.008718396,-0.116550117,-0.184932967,-0.098699386,0.353247304,0.167430356,11598.84615,38.61908694,0.01407212,10.06694652,1.418461894,-0.019730079,2026/04/28 6:57
962,373A JT Equity,リップス,Personal Care Products,グロース,2026/07/15,,4013212500,6388.888889,1551,1557,-0.003853565,1545,1558,1551.5,-0.001929881,1900,1560,1551,0.011082138,0.001291156,-0.16925549,-0.454449525,-0.454449525,-0.454449525,1559,42.21371079,,6.515351089,1.09325197,-0.005131495,2026/04/28 6:57
963,3741 JT Equity,セック,Software,プライム,2026/05/12,14:00,30679040000,114770.3704,2996,2894,0.035245335,2995,3005,3000,0.035018113,192900,3040,2956,0.0135318,-0.121605774,0.205367472,0.389459958,0.97139497,1.435629055,2995.259259,49.63902752,0.020026702,20.9923731,3.093895044,0.000247304,2026/04/28 6:57
964,3744 JT Equity,サイオス,Software,スタンダード,2026/05/11,16:00,3913610400,51407.40741,441,439,0.004555809,440,442,441,0.006849315,7700,441,435,0.060096154,-0.090721649,-0.049568966,0.304733728,0.196233434,-0.362496105,432.6296296,53.40664868,,11.67313167,2.059020992,0.019347659,2026/04/28 6:57
965,3747 JT Equity,インタートレード,Software,スタンダード,2026/05/15,14:00,4340318400,81485.18519,583,585,-0.003418803,581,585,583,-0.001712329,24000,591,577,0.061930783,-0.191400832,-0.371089536,0.468513854,0.772036474,0.097928437,592.7037037,42.35219103,,,3.39313581,-0.01637193,2026/04/28 6:57
966,3750 JT Equity,ADR120S,Real Estate Management & Development,スタンダード,2026/05/15,15:00,7393558932,6070.37037,828,835,-0.008383234,812,828,820,-0.014423077,2900,833,810,0.010989011,-0.044982699,-0.011933174,0.221238938,-0.279373368,-0.403028118,839.7037037,46.13240073,,,72.48622221,-0.013937897,2026/04/28 6:57
967,3753 JT Equity,フライトソリューションズ,IT Services,スタンダード,2026/05/20,14:00,2224115100,246207.4074,153,156,-0.019230769,152,153,152.5,-0.019292605,87500,156,152,-0.067073171,-0.094674556,-0.172972973,-0.316964286,-0.595238095,-0.742424242,158.2962963,44.23876537,,,5.190646853,-0.033458119,2026/04/28 6:57
968,3758 JT Equity,アエリア,Entertainment,スタンダード,2026/05/15,,5206109860,23188.88889,245,245,0,244,245,244.5,-0.00407332,27700,247,244,-4.07E-03,-0.163822526,-0.146290353,0.017482517,-0.31041052,-0.565896755,249.962963,36.81250276,0.020408163,14.47299997,0.588545545,-0.019854793,2026/04/28 6:57
969,3760 JT Equity,ケイブ,Entertainment,スタンダード,2026/07/14,,4036180500,17840.74074,603,601,0.003327787,603,606,604.5,0.004987531,18400,607,600,-0.051886792,-0.114537445,-0.261029412,-0.374494624,-0.726764411,-0.450601298,636.6296296,30.4488865,0.016583748,,1.249088011,-0.052824481,2026/04/28 6:57
